project_id,institution_name,institution_type,project_domain,team_size,avg_team_experience,innovation_score,funding_amount_usd,mentorship_support,incubation_support,market_readiness_level,competition_awards,business_model_score,technology_maturity,year,success_label
P0071,Institution_16,Non-technical,GreenTech,6,3.67,0.76,6284.93,1,0,5,3,0.96,5,2023,1
P0072,Institution_18,Technical,AgriTech,3,0.5,0.4,32862.29,0,1,4,1,0.76,2,2020,0
P0073,Institution_24,Technical,FinTech,6,2.58,0.78,16311.93,1,0,1,1,0.61,3,2019,0
P0074,Institution_26,Technical,HealthTech,2,3.02,0.94,18053.48,0,0,1,2,0.35,1,2023,0
P0075,Institution_25,Technical,HealthTech,2,2.67,0.73,24853.55,1,0,4,0,0.3,1,2023,0
P0076,Institution_29,Public,AgriTech,2,0.79,0.69,48950.34,0,1,3,2,0.25,3,2020,1
P0077,Institution_15,Technical,GreenTech,7,1.26,0.97,48306.67,1,1,3,0,0.21,1,2022,1
P0078,Institution_1,Private,EdTech,4,1.38,0.74,21396.79,0,1,2,4,0.9,4,2019,1
P0079,Institution_25,Private,AgriTech,4,3.41,0.48,14009.46,0,0,1,2,0.85,1,2023,0
P0080,Institution_7,Public,FinTech,4,2.12,0.5,15827.02,1,0,1,3,0.65,4,2021,0
P0081,Institution_9,Private,FinTech,7,2.2,0.79,14170.28,1,1,4,0,1.0,3,2020,1
P0082,Institution_24,Private,HealthTech,6,3.77,0.81,27080.04,1,0,4,2,0.96,4,2022,1
P0083,Institution_1,Technical,FinTech,4,2.73,0.51,30736.13,1,1,3,3,0.72,1,2022,1
P0084,Institution_8,Private,AgriTech,3,3.65,0.54,24950.19,1,1,1,1,0.57,2,2020,0
P0085,Institution_24,Public,FinTech,2,2.1,0.99,20991.72,1,0,1,4,0.32,4,2022,0
P0086,Institution_11,Technical,AgriTech,6,1.02,0.37,11352.97,0,0,5,4,0.61,1,2023,0
P0087,Institution_17,Non-technical,EdTech,2,3.75,0.58,24642.77,0,0,2,1,0.33,2,2022,0
P0088,Institution_8,Technical,HealthTech,4,2.11,0.34,17714.03,0,0,2,2,0.52,3,2019,0
P0089,Institution_35,Public,FinTech,6,1.14,0.87,27538.18,1,1,3,1,0.95,3,2021,1
P0090,Institution_35,Technical,AgriTech,5,1.56,0.36,34084.28,1,1,1,3,0.47,5,2023,1
P0091,Institution_33,Technical,GreenTech,3,0.68,0.77,32032.3,1,1,5,0,0.32,3,2020,1
P0092,Institution_5,Public,HealthTech,4,2.14,0.34,23662.02,0,1,1,2,0.67,5,2021,0
P0093,Institution_39,Technical,EdTech,4,3.49,0.77,28246.57,1,1,4,0,0.68,3,2023,1
P0094,Institution_28,Public,AgriTech,3,3.77,0.89,14957.95,0,1,3,1,0.36,3,2021,0
P0095,Institution_7,Public,EdTech,3,3.76,0.58,2187.77,1,0,2,4,0.36,3,2022,0
P0096,Institution_9,Non-technical,EdTech,5,0.94,0.67,31625.95,1,1,1,0,0.99,5,2020,1
P0097,Institution_8,Private,FinTech,4,1.84,0.58,13375.86,1,0,3,0,0.39,5,2020,0
P0098,Institution_12,Private,FinTech,7,0.6,0.51,33778.73,0,0,2,4,0.87,4,2019,0
P0099,Institution_34,Technical,AgriTech,4,3.49,0.86,37603.42,1,1,1,0,0.58,1,2022,1
P0100,Institution_33,Technical,GreenTech,2,1.76,0.49,45880.46,0,1,5,0,0.55,1,2019,1
P0101,Institution_23,Non-technical,AgriTech,6,2.71,0.81,47948.02,1,0,3,4,0.44,1,2019,1
P0102,Institution_24,Non-technical,GreenTech,6,3.0,0.44,1515.78,1,0,1,4,0.82,3,2022,0
P0103,Institution_37,Non-technical,EdTech,2,2.0,0.47,49528.34,1,1,2,1,0.9,1,2023,1
P0104,Institution_35,Public,HealthTech,6,1.57,0.54,34467.9,1,1,2,1,0.41,5,2019,1
P0105,Institution_40,Non-technical,AgriTech,3,3.87,0.71,32532.68,0,0,5,0,0.28,4,2021,0
P0106,Institution_22,Non-technical,AgriTech,6,3.88,0.62,1745.44,1,1,3,2,0.31,2,2023,0
P0107,Institution_27,Technical,GreenTech,6,1.51,0.82,43200.44,0,1,3,1,0.83,4,2022,1
P0108,Institution_35,Non-technical,EdTech,2,2.18,0.45,8129.08,1,1,1,1,0.55,1,2020,0
P0109,Institution_1,Public,EdTech,5,3.9,0.31,42029.18,1,1,2,2,0.31,1,2023,0
P0110,Institution_35,Public,GreenTech,6,0.52,0.84,1762.56,1,1,2,2,0.47,5,2019,1
P0111,Institution_37,Technical,EdTech,7,1.94,0.88,32652.25,0,0,5,4,0.61,4,2021,1
P0112,Institution_14,Non-technical,FinTech,6,0.85,0.34,22305.28,1,1,5,1,0.88,5,2022,1
P0113,Institution_3,Non-technical,HealthTech,5,2.28,0.73,10837.57,0,1,3,3,0.71,5,2020,0
P0114,Institution_1,Public,AgriTech,2,0.59,0.56,6270.51,0,0,2,3,0.34,2,2021,0
P0115,Institution_5,Non-technical,HealthTech,5,1.92,0.86,22566.26,1,0,1,0,0.33,5,2020,0
P0116,Institution_26,Non-technical,AgriTech,2,1.27,0.91,7041.98,0,1,4,1,0.53,5,2022,1
P0117,Institution_14,Non-technical,FinTech,3,2.37,0.9,24835.88,1,1,1,3,0.26,2,2023,1
P0118,Institution_39,Private,EdTech,2,3.99,0.84,31635.64,0,0,5,1,0.8,3,2019,1
P0119,Institution_27,Technical,GreenTech,3,3.3,0.49,41541.83,0,1,1,1,0.52,3,2022,0
P0120,Institution_9,Private,FinTech,3,3.46,0.87,34253.82,0,1,2,3,0.47,2,2021,1
P0121,Institution_15,Technical,HealthTech,2,2.72,0.67,4194.79,0,1,3,1,0.61,5,2023,0
P0122,Institution_15,Public,GreenTech,7,0.65,0.34,16064.19,1,0,4,2,0.77,1,2020,0
P0123,Institution_26,Non-technical,EdTech,4,1.22,0.62,15110.95,0,1,3,0,0.66,4,2023,0
P0124,Institution_13,Technical,FinTech,2,3.74,0.96,45836.59,1,1,4,4,0.84,1,2023,1
P0125,Institution_32,Private,GreenTech,6,1.78,0.92,43521.32,0,0,4,3,0.7,1,2021,1
P0126,Institution_39,Non-technical,FinTech,7,0.86,0.37,19137.25,1,1,2,4,0.83,5,2019,1
P0127,Institution_32,Public,FinTech,7,2.96,0.82,4486.61,1,1,2,0,0.76,4,2023,1
P0128,Institution_4,Technical,EdTech,6,1.55,0.86,44811.26,0,1,5,2,0.35,4,2023,1
P0129,Institution_30,Technical,AgriTech,4,1.44,0.49,44521.31,0,1,5,2,0.24,3,2019,0
P0130,Institution_37,Technical,GreenTech,7,3.99,0.63,42882.56,1,0,4,2,0.92,2,2019,1
P0131,Institution_23,Non-technical,EdTech,3,3.5,0.8,42409.0,0,0,5,2,0.96,5,2020,1
P0132,Institution_39,Private,FinTech,4,1.93,0.61,24532.45,0,1,2,3,0.78,4,2020,0
P0133,Institution_15,Private,EdTech,6,3.93,0.38,9694.15,0,1,5,3,0.78,5,2019,0
P0134,Institution_29,Technical,AgriTech,4,2.78,0.79,24396.91,0,1,4,1,0.42,3,2022,0
P0135,Institution_36,Public,GreenTech,2,3.1,0.94,25235.29,0,1,3,1,0.63,1,2019,1
P0136,Institution_13,Public,AgriTech,4,0.61,0.76,25006.66,0,0,1,0,0.99,4,2020,0
P0137,Institution_32,Private,HealthTech,3,0.93,0.84,27399.86,0,0,5,1,0.88,3,2021,1
P0138,Institution_7,Public,GreenTech,2,2.72,0.55,13625.19,0,0,2,0,0.44,5,2021,0
P0139,Institution_22,Private,AgriTech,5,3.65,0.43,18945.82,0,1,3,0,0.44,3,2023,0
P0140,Institution_28,Technical,FinTech,6,2.68,0.75,22275.14,1,1,2,0,0.59,3,2021,1
P0141,Institution_2,Private,GreenTech,6,0.97,0.53,7424.94,0,1,5,2,0.52,3,2020,0
P0142,Institution_6,Private,GreenTech,4,0.91,0.9,23312.84,0,0,4,4,0.5,3,2021,0
P0143,Institution_28,Technical,EdTech,7,3.45,0.39,40713.01,0,0,1,4,0.7,3,2022,0
P0144,Institution_28,Public,FinTech,2,0.99,0.6,41574.92,0,0,1,3,0.21,3,2019,0
P0145,Institution_20,Private,HealthTech,5,2.32,0.58,21166.62,0,0,3,0,0.81,2,2019,0
P0146,Institution_30,Private,AgriTech,2,0.63,0.96,26421.61,1,0,1,2,0.79,5,2020,1
P0147,Institution_11,Technical,EdTech,6,0.78,0.41,2648.87,1,1,4,1,0.86,1,2023,0
P0148,Institution_28,Public,AgriTech,2,2.85,0.31,34047.2,0,1,2,1,0.87,5,2019,0
P0149,Institution_25,Private,HealthTech,5,2.91,0.47,20825.69,1,1,4,3,0.65,4,2021,1
P0150,Institution_39,Technical,HealthTech,7,1.7,0.87,22828.41,0,0,3,3,0.82,4,2022,0
P0151,Institution_33,Private,GreenTech,4,1.25,0.45,43809.96,0,1,3,0,0.59,5,2023,1
P0152,Institution_1,Non-technical,HealthTech,3,3.35,0.47,23629.89,1,1,1,0,0.96,3,2023,1
P0153,Institution_27,Technical,AgriTech,2,1.26,0.39,2038.42,1,0,4,1,0.35,2,2023,0
P0154,Institution_13,Public,FinTech,3,2.4,0.8,12147.05,1,0,2,1,0.93,1,2019,0
P0155,Institution_3,Public,FinTech,6,3.89,0.35,24305.41,1,0,4,1,0.41,3,2023,0
P0156,Institution_39,Public,GreenTech,4,1.02,0.53,21795.42,1,1,2,1,0.28,5,2020,1
P0157,Institution_6,Public,AgriTech,4,3.79,0.5,43158.14,0,0,2,4,0.55,5,2021,0
P0158,Institution_8,Private,AgriTech,2,1.14,0.69,27564.74,0,1,4,0,0.69,2,2022,1
P0159,Institution_27,Private,HealthTech,7,2.49,0.81,34792.15,0,1,5,0,0.38,2,2021,1
P0160,Institution_9,Public,AgriTech,4,1.82,0.67,23996.84,1,0,4,1,0.64,5,2020,1
P0161,Institution_37,Public,EdTech,2,3.88,0.95,22543.13,0,1,2,2,0.85,3,2020,1
P0162,Institution_33,Public,HealthTech,2,1.46,0.97,22868.05,1,0,3,1,0.41,3,2021,1
P0163,Institution_24,Private,EdTech,3,1.9,0.55,21135.16,0,0,3,3,0.66,3,2019,0
P0164,Institution_15,Public,GreenTech,4,3.94,0.84,27390.59,1,1,1,2,0.47,1,2020,1
P0165,Institution_32,Public,FinTech,2,2.38,0.82,13271.73,1,1,3,3,0.62,1,2023,1
P0166,Institution_32,Non-technical,GreenTech,3,2.26,0.93,44661.7,0,1,5,2,0.73,3,2022,1
P0167,Institution_24,Non-technical,FinTech,5,1.4,0.61,17321.19,0,0,2,3,0.48,5,2022,0
P0168,Institution_12,Public,GreenTech,3,2.95,0.67,8228.67,0,1,4,1,1.0,2,2020,0
P0169,Institution_39,Technical,AgriTech,3,0.55,0.59,5730.97,0,0,4,1,0.65,4,2023,0
P0170,Institution_2,Public,EdTech,2,0.67,0.9,1657.72,1,0,5,2,0.86,2,2021,1
P0171,Institution_3,Non-technical,FinTech,6,2.6,0.46,21719.95,0,1,3,3,0.78,2,2022,0
P0172,Institution_37,Technical,HealthTech,6,1.7,0.47,10192.94,1,1,2,4,0.88,4,2023,1
P0173,Institution_17,Technical,EdTech,7,3.84,0.56,2060.75,0,1,3,2,0.34,3,2023,0
P0174,Institution_2,Public,HealthTech,6,3.66,0.46,26480.96,0,1,1,2,0.38,2,2019,0
P0175,Institution_2,Non-technical,EdTech,3,3.0,0.69,34318.95,0,0,3,0,0.59,4,2020,0
P0176,Institution_28,Non-technical,EdTech,7,3.36,0.39,5201.8,0,1,1,2,0.88,5,2023,0
P0177,Institution_23,Technical,GreenTech,2,2.84,0.52,23585.12,0,0,4,4,0.36,5,2021,0
P0178,Institution_37,Public,FinTech,4,0.94,0.94,37437.81,1,1,2,1,0.98,5,2022,1
P0179,Institution_32,Private,FinTech,3,3.18,0.59,49304.53,0,1,1,3,0.3,3,2019,0
P0180,Institution_33,Private,EdTech,3,1.24,0.82,33692.33,1,1,3,0,0.34,2,2021,1
P0181,Institution_1,Non-technical,AgriTech,7,1.63,0.38,12997.14,0,0,3,3,0.33,2,2022,0
P0182,Institution_19,Private,AgriTech,2,3.37,0.47,36111.13,1,1,4,1,0.67,1,2020,1
P0183,Institution_2,Non-technical,HealthTech,5,2.38,0.87,30298.54,0,0,5,2,0.93,5,2021,1
P0184,Institution_26,Non-technical,HealthTech,3,3.51,0.83,11378.17,0,1,5,4,0.4,3,2022,0
P0185,Institution_32,Non-technical,GreenTech,5,1.25,0.57,42704.43,0,1,3,0,0.64,4,2019,1
P0186,Institution_6,Private,EdTech,5,2.63,0.97,21942.82,1,0,5,4,0.34,3,2022,1
P0187,Institution_32,Non-technical,HealthTech,6,0.79,0.94,48136.91,1,0,2,4,0.7,2,2023,1
P0188,Institution_4,Technical,HealthTech,2,2.75,0.97,36422.15,0,1,5,4,0.3,5,2019,1
P0189,Institution_11,Public,EdTech,5,3.17,0.6,32583.59,0,1,2,4,0.59,1,2021,0
P0190,Institution_17,Public,GreenTech,2,2.55,0.44,36689.29,0,0,3,1,0.72,3,2020,0
P0191,Institution_38,Non-technical,HealthTech,6,1.43,0.74,24426.75,1,1,3,4,0.66,1,2019,1
P0192,Institution_24,Public,GreenTech,2,0.61,0.78,25756.1,0,0,3,4,0.31,2,2019,0
P0193,Institution_5,Private,FinTech,3,0.92,0.39,42709.16,1,1,4,1,0.33,4,2019,1
P0194,Institution_34,Private,GreenTech,5,2.68,0.85,34365.5,0,0,5,3,0.74,3,2022,1
P0195,Institution_6,Public,AgriTech,2,3.77,0.31,44964.92,1,0,1,1,0.85,2,2023,0
P0196,Institution_22,Private,AgriTech,4,1.22,0.64,44650.51,1,0,1,2,0.93,5,2020,1
P0197,Institution_11,Public,GreenTech,2,3.07,0.53,48848.01,1,0,3,1,0.85,3,2020,1
P0198,Institution_16,Public,AgriTech,5,3.53,0.82,35310.52,0,0,5,3,0.98,1,2023,1
P0199,Institution_33,Public,FinTech,6,2.32,0.52,25612.78,1,1,2,2,0.53,3,2022,1
P0200,Institution_9,Non-technical,EdTech,6,2.84,0.88,9149.27,0,1,1,2,0.46,2,2022,0
P0201,Institution_6,Public,AgriTech,5,3.35,0.72,35563.65,1,1,3,0,0.22,2,2023,1
P0202,Institution_16,Non-technical,AgriTech,3,1.41,0.86,15287.31,0,1,1,4,0.56,1,2023,0
P0203,Institution_29,Public,GreenTech,3,1.54,0.99,14864.43,1,1,1,2,0.72,2,2021,1
P0204,Institution_3,Public,FinTech,6,0.5,0.78,12676.1,1,1,1,2,0.85,3,2022,1
P0205,Institution_20,Public,EdTech,6,3.87,0.99,43880.98,0,1,3,3,0.41,1,2019,1
P0206,Institution_36,Private,GreenTech,5,3.71,0.32,43530.26,0,1,3,2,0.61,2,2020,0
P0207,Institution_19,Non-technical,GreenTech,3,3.18,0.54,31917.55,1,1,4,3,0.73,2,2022,1
P0208,Institution_26,Non-technical,FinTech,6,0.78,0.38,24176.07,1,0,4,4,0.64,3,2023,0
P0209,Institution_3,Public,EdTech,3,2.07,0.48,33933.61,0,0,4,0,0.42,2,2019,0
P0210,Institution_19,Public,FinTech,6,0.86,0.89,30754.24,1,1,1,0,0.84,3,2021,1
P0211,Institution_20,Private,EdTech,2,0.56,0.32,21370.98,1,0,5,4,0.34,5,2021,0
P0212,Institution_32,Private,FinTech,4,2.66,0.66,19601.91,0,1,3,4,0.92,3,2019,1
P0213,Institution_7,Private,GreenTech,7,3.86,0.7,19756.92,0,0,4,1,0.96,4,2019,0
P0214,Institution_33,Non-technical,GreenTech,2,3.66,0.69,29867.54,0,0,5,2,0.49,2,2023,0
P0215,Institution_40,Non-technical,HealthTech,7,2.94,0.63,32735.8,1,0,4,2,0.5,5,2023,1
P0216,Institution_39,Non-technical,AgriTech,6,0.84,0.85,23135.35,1,1,4,2,0.79,1,2020,1
P0217,Institution_18,Public,FinTech,4,1.46,0.39,48465.88,1,1,5,3,0.57,4,2020,1
P0218,Institution_40,Non-technical,HealthTech,4,1.62,0.52,5108.44,0,1,4,1,0.22,1,2021,0
P0219,Institution_1,Technical,AgriTech,6,3.17,0.73,18005.3,1,1,1,2,0.94,4,2019,1
P0220,Institution_11,Technical,FinTech,6,3.31,0.78,21534.66,0,0,1,3,0.54,5,2021,0
P0221,Institution_28,Private,EdTech,3,1.85,0.58,1829.15,0,1,1,3,0.36,5,2023,0
P0222,Institution_25,Non-technical,AgriTech,6,1.96,0.91,18882.9,1,0,2,0,0.64,5,2022,1
P0223,Institution_23,Technical,GreenTech,5,0.66,0.59,14411.79,0,1,4,3,0.38,4,2023,0
P0224,Institution_31,Private,HealthTech,6,1.51,0.58,25795.78,1,0,2,4,0.36,3,2022,0
P0225,Institution_30,Non-technical,AgriTech,5,2.08,0.33,17484.12,0,0,3,3,0.64,1,2019,0
P0226,Institution_35,Public,AgriTech,6,0.91,0.69,36582.92,0,0,5,4,0.51,3,2019,0
P0227,Institution_7,Technical,GreenTech,3,2.09,0.8,25986.69,0,0,3,4,0.66,3,2019,0
P0228,Institution_16,Public,FinTech,5,3.49,0.38,7358.35,1,1,2,0,1.0,2,2020,0
P0229,Institution_26,Non-technical,EdTech,2,2.53,0.51,37753.0,0,1,1,0,0.89,1,2020,0
P0230,Institution_2,Technical,GreenTech,5,0.78,0.85,5862.22,1,0,4,3,0.21,4,2022,0
P0231,Institution_1,Non-technical,EdTech,3,1.17,0.56,42113.41,0,1,4,0,0.24,2,2021,0
P0232,Institution_12,Public,FinTech,7,2.16,0.47,46639.69,0,1,1,0,0.69,2,2021,0
P0233,Institution_5,Technical,AgriTech,5,1.77,0.77,16799.82,0,0,4,2,0.7,5,2022,0
P0234,Institution_37,Public,EdTech,6,1.76,0.44,46380.99,1,1,5,3,0.9,4,2020,1
P0235,Institution_32,Non-technical,HealthTech,6,2.35,0.93,39857.4,1,1,5,3,0.7,3,2023,1
P0236,Institution_9,Non-technical,HealthTech,7,2.55,0.37,46199.34,1,1,5,3,0.38,3,2022,1
P0237,Institution_35,Public,GreenTech,3,3.29,0.79,33647.24,1,0,3,0,0.57,3,2021,1
P0238,Institution_19,Technical,FinTech,4,1.69,0.65,12546.56,1,1,1,0,0.85,5,2022,1
P0239,Institution_16,Public,GreenTech,6,3.32,0.91,44831.64,0,0,5,4,0.94,3,2022,1
P0240,Institution_3,Non-technical,GreenTech,2,1.69,0.39,10028.99,0,0,2,1,0.39,1,2019,0
P0241,Institution_20,Public,GreenTech,3,0.69,0.77,11439.97,1,0,5,1,0.63,3,2020,0
P0242,Institution_24,Non-technical,HealthTech,5,2.44,0.7,14282.09,1,1,3,1,0.33,3,2019,1
P0243,Institution_33,Public,HealthTech,5,2.56,0.64,15908.07,1,1,2,2,0.6,1,2020,0
P0244,Institution_24,Technical,GreenTech,2,3.77,0.64,26209.5,1,1,1,0,0.27,5,2022,1
P0245,Institution_11,Technical,HealthTech,6,3.04,0.81,35959.41,0,0,1,4,0.95,2,2020,0
P0246,Institution_8,Public,FinTech,3,3.71,0.96,46384.2,1,1,5,4,0.71,4,2021,1
P0247,Institution_36,Public,GreenTech,2,3.68,0.36,5333.44,1,0,2,1,0.88,5,2019,0
P0248,Institution_38,Technical,HealthTech,6,2.62,0.31,47764.1,1,1,2,2,1.0,3,2022,1
P0249,Institution_40,Non-technical,EdTech,3,2.35,0.86,46144.83,1,0,5,2,0.35,2,2021,1
P0250,Institution_20,Technical,GreenTech,5,2.45,0.38,3645.97,0,1,5,1,0.76,4,2020,0
P0251,Institution_35,Non-technical,GreenTech,3,3.92,0.99,18655.74,0,1,4,1,0.91,4,2020,1
P0252,Institution_25,Public,FinTech,7,3.21,0.73,40844.03,1,1,4,0,0.66,4,2021,1
P0253,Institution_35,Public,AgriTech,4,0.87,0.76,30967.25,0,0,5,2,0.71,1,2020,0
P0254,Institution_25,Non-technical,AgriTech,3,3.22,0.44,39175.6,0,0,3,4,0.53,1,2019,0
P0255,Institution_29,Public,FinTech,4,1.1,0.47,36232.63,1,1,4,1,0.74,2,2023,1
P0256,Institution_18,Non-technical,FinTech,3,2.07,0.76,25341.74,1,0,5,0,0.52,3,2020,1
P0257,Institution_18,Private,FinTech,4,1.24,0.94,3019.68,0,0,2,4,0.58,2,2022,0
